49191;10032;Alnus x pubescens
32649;80021;Aloina
32659;80022;Aloina aloides
32650;80023;Aloina ambigua
32662;80024;Aloina brevirostris
32655;99122;Aloina obliquifolia
32656;80026;Aloina rigida
39704;61360;Alopecurus
39727;329;Alopecurus aequalis
39712;335;Alopecurus arundinaceus
39714;32205;Alopecurus arundinaceus subsp. exserens
39738;90158;Alopecurus arundinaceus x pratensis
39730;330;Alopecurus bulbosus
39725;331;Alopecurus geniculatus
39722;333;Alopecurus myosuroides
39706;336;Alopecurus pratensis
39737;334;Alopecurus pratensis agg.
39710;20340;Alopecurus pratensis subsp. pratensis
39708;20341;Alopecurus pratensis subsp. pseudonigricans
39734;20342;Alopecurus rendlei
39732;10033;Alopecurus x brachystylus
39718;10035;Alopecurus x haussknechtianus
39720;90163;Alopecurus x marssonii
39716;90164;Alopecurus x plettkei
39739;90165;Alopecurus x winklerianus
45815;60305;Alseuosmiaceae
36992;61600;Alstroemeriaceae
52993;61063;Althaea
52995;339;Althaea hirsuta
52998;340;Althaea officinalis
49105;61601;Altingiaceae
53476;60829;Alyssum
53478;345;Alyssum alyssoides
53482;350;Alyssum montanum
53486;26457;Alyssum montanum subsp. gmelinii
53484;26456;Alyssum montanum subsp. montanum
53489;351;Alyssum murale
53490;93573;Alyssum parviflorum
52774;61602;Alzateaceae
41784;60172;Amaranthaceae
42061;60606;Amaranthus
42063;357;Amaranthus albus
42098;6535;Amaranthus australis
42065;358;Amaranthus blitoides
42099;26642;Amaranthus blitum agg.
42109;15050;Amaranthus blitum s. str.
42078;6589;Amaranthus bouchonii
42113;6590;Amaranthus caudatus
42115;360;Amaranthus crispus
42091;365;Amaranthus cruentus
42070;362;Amaranthus deflexus
42102;6592;Amaranthus emarginatus
42104;26644;Amaranthus emarginatus subsp. emarginatus s. str.
42106;26645;Amaranthus emarginatus subsp. pseudogracilis
42095;6593;Amaranthus gracilis
42083;363;Amaranthus graecizans
42085;20371;Amaranthus graecizans subsp. silvestris
42072;364;Amaranthus hybridus agg.
42080;366;Amaranthus hybridus s. str.
42111;6594;Amaranthus palmeri
42075;368;Amaranthus powellii
42114;6595;Amaranthus quitensis
42096;370;Amaranthus retroflexus
42090;6597;Amaranthus spinosus
42069;361;Amaranthus standleyanus
42112;20382;Amaranthus viridis
42093;90172;Amaranthus x alleizettei
42088;90173;Amaranthus x ozanonii
42067;90174;Amaranthus x soproniensis
38126;66148;Amaryllidaceae
33860;80028;Amblyodon
33861;80036;Amblyodon dealbatus
33389;94460;Amblystegiaceae
36229;80080;Amblystegium
36230;80069;Amblystegium serpens
36242;80066;Amblystegium serpens var. juratzkanum
36233;80063;Amblystegium serpens var. serpens
54812;61603;Amborellaceae
54811;61604;Amborellales
43679;60731;Ambrosia
43684;371;Ambrosia artemisiifolia
43681;373;Ambrosia psilostachya
43686;374;Ambrosia trifida
50475;61160;Amelanchier
50477;10039;Amelanchier alnifolia
50484;33663;Amelanchier embergeri
50486;375;Amelanchier lamarckii
50480;376;Amelanchier ovalis s. l.
50488;377;Amelanchier spicata
46106;61251;Ammi
46109;380;Ammi majus
46108;6600;Ammi visnaga
40337;61361;Ammophila
40340;384;Ammophila arenaria
40339;383;Ammophila arenaria agg.
51474;65459;Amorpha
51476;27272;Amorpha fruticosa
33267;80081;Amphidium
33271;80083;Amphidium lapponicum
33268;80084;Amphidium mougeotii
48597;60623;Amsinckia
48598;93579;Amsinckia micrantha
40831;70346;Anacampserotaceae
35296;80087;Anacamptodon
35297;80088;Anacamptodon splachnoides
52798;60388;Anacardiaceae
42279;61119;Anagallis
42292;393;Anagallis arvensis
42295;394;Anagallis arvensis subsp. arvensis
42285;396;Anagallis foemina
42282;20404;Anagallis minima
42289;397;Anagallis tenella
42301;50003;Anagallis x doerfleri
45367;67192;Anaphalis
45369;398;Anaphalis margaritacea
47053;61201;Anarrhinum
47055;399;Anarrhinum bellidifolium
40784;70347;Anarthriaceae
33364;80086;Anastrepta
33365;80093;Anastrepta orcadensis
35299;99889;Anastrophyllaceae
35780;80095;Anastrophyllum
35781;80090;Anastrophyllum michauxii
48515;60624;Anchusa
48520;400;Anchusa arvensis s. l.
48522;15059;Anchusa arvensis s. str.
48518;403;Anchusa azurea
48519;406;Anchusa ochroleuca
48525;407;Anchusa officinalis
41765;60235;Ancistrocladaceae
32928;80096;Andreaea
32929;80097;Andreaea alpestris
36559;94461;Andreaeaceae
32961;80099;Andreaea crassinervia
32934;90186;Andreaea heinemannii
32142;94660;Andreaeales
32951;80117;Andreaea rothii
32952;80114;Andreaea rothii subsp. falcata
32958;80116;Andreaea rothii subsp. rothii
32936;80123;Andreaea rupestris
32932;90188;Andreaea rupestris agg.
34255;94623;Andreaeopsida
42582;60907;Andromeda
42584;409;Andromeda polifolia
39666;62328;Andropogon
42307;61120;Androsace
42316;417;Androsace chamaejasme
42319;418;Androsace elongata
42323;419;Androsace hausmannii
42309;420;Androsace helvetica
42312;421;Androsace lactea
42321;422;Androsace maxima
42314;423;Androsace obtusifolia
42325;425;Androsace septentrionalis
42318;99062;Androsace vandellii
54506;62146;Anemonastrum
54507;20423;Anemonastrum narcissiflorum
54509;27650;Anemonastrum narcissiflorum subsp. narcissiflorum
54331;61138;Anemone
54341;431;Anemone baldensis
54346;26302;Anemone blanda
54343;435;Anemone nemorosa
54340;94849;Anemone nemorosa agg.
54335;436;Anemone ranunculoides
54338;437;Anemone sylvestris
54332;50004;Anemone x seemenii
45858;61253;Anethum
45859;439;Anethum graveolens
32995;80125;Aneura
35784;94422;Aneuraceae
33002;90193;Aneura maxima
32996;99152;Aneura mirabilis
32998;80129;Aneura pinguis
45951;61254;Angelica
45961;440;Angelica archangelica
45964;441;Angelica archangelica subsp. archangelica
45966;442;Angelica archangelica subsp. litoralis
45969;443;Angelica palustris
45954;445;Angelica sylvestris
45956;32155;Angelica sylvestris subsp. bernardiae
45959;6608;Angelica sylvestris subsp. sylvestris
36836;60049;Angiosperms
51808;60304;Anisophylleaceae
54730;60095;Annonaceae
53040;61064;Anoda
53041;6609;Anoda cristata
33738;80149;Anoectangium
33740;80152;Anoectangium aestivum
34853;80173;Anomobryum
34854;99194;Anomobryum bavaricum
34862;80160;Anomobryum concinnatum
33723;80150;Anomodon
33733;80158;Anomodon attenuatus
33735;80168;Anomodon longifolius
33724;80169;Anomodon rostratus
33728;80170;Anomodon rugelii
32133;94462;Anomodontaceae
33726;80172;Anomodon viticulosus
42850;60747;Antennaria
42855;447;Antennaria carpatica
42852;448;Antennaria dioica
34055;80175;Anthelia
34301;94423;Antheliaceae
34059;80181;Anthelia julacea
34056;80182;Anthelia juratzkana
42822;60759;Anthemis
42824;449;Anthemis altissima
42831;450;Anthemis arvensis
42833;29657;Anthemis arvensis subsp. arvensis
42847;451;Anthemis austriaca
42829;452;Anthemis cotula
42828;6610;Anthemis hyalina
42826;456;Anthemis ruthenica
42835;90196;Anthemis ruthenica x tinctoria
42838;459;Anthemis tinctoria
42836;458;Anthemis tinctoria agg.
42841;29011;Anthemis tinctoria subsp. tinctoria
42843;10044;Anthemis x adulterina
42845;90198;Anthemis x bollei
37985;61452;Anthericum
37987;461;Anthericum liliago
37991;462;Anthericum ramosum
37989;10045;Anthericum x confusum
36062;80174;Anthoceros
36065;80176;Anthoceros agrestis
36076;90201;Anthoceros caucasicus
36071;80185;Anthoceros neesii
36072;80189;Anthoceros punctatus
36064;94720;Anthoceros punctatus agg.
35859;94424;Anthocerotaceae
35860;94653;Anthocerotales
34061;94717;Anthocerotophyta
33553;94619;Anthocerotopsida
39186;61362;Anthoxanthum
39188;20071;Anthoxanthum aristatum
39196;20453;Anthoxanthum nipponicum
39191;463;Anthoxanthum odoratum agg.
39193;465;Anthoxanthum odoratum s. str.
45906;61255;Anthriscus
45930;467;Anthriscus caucalis
45908;468;Anthriscus cerefolium
45927;472;Anthriscus nitidus
45917;473;Anthriscus sylvestris
45915;469;Anthriscus sylvestris agg.
45920;20462;Anthriscus sylvestris subsp. alpinus
45923;26773;Anthriscus sylvestris subsp. stenophyllus
45925;20463;Anthriscus sylvestris subsp. sylvestris
51551;61018;Anthyllis
51553;477;Anthyllis vulneraria s. l.
51555;32150;Anthyllis vulneraria subsp. alpicola
51560;479;Anthyllis vulneraria subsp. carpatica
51563;481;Anthyllis vulneraria subsp. maritima
51571;482;Anthyllis vulneraria subsp. polyphylla
51566;14783;Anthyllis vulneraria subsp. pseudovulneraria
51569;485;Anthyllis vulneraria subsp. vulneraria
39613;95042;Antinoria
39614;94929;Antinoria agrostidea
47705;61202;Antirrhinum
47707;490;Antirrhinum majus
47711;488;Antirrhinum majus agg.
47709;29658;Antirrhinum majus subsp. majus
56129;94051;Antithamnion
56130;90204;Antithamnion cruciatum
56149;94052;Antithamnionella
56150;90205;Antithamnionella floccosa
36634;80193;Antitrichia
36635;80191;Antitrichia curtipendula
35738;80194;Aongstroemia
35739;80195;Aongstroemia longipes
39526;61363;Apera
39533;93585;Apera intermedia
39534;491;Apera interrupta
39528;492;Apera spica-venti
39531;29659;Apera spica-venti subsp. spica-venti
50162;61161;Aphanes
50164;493;Aphanes arvensis
50167;27842;Aphanes australis
50171;29660;Aphanes australis subsp. australis
55633;94054;Aphanochaete
55634;90206;Aphanochaete repens
49103;61605;Aphanopetalaceae
34515;80197;Aphanorrhegma
34516;80198;Aphanorrhegma hampei
52924;61606;Aphloiaceae
45829;60404;Apiaceae
45817;60290;Apiales
46244;61256;Apium
46245;497;Apium graveolens
46750;60419;Apocynaceae
51812;61607;Apodanthaceae
56153;94056;Apoglossum
56154;90207;Apoglossum ruscifolium
36154;80205;Apometzgeria
37066;95043;Aponogeton
37259;60480;Aponogetonaceae
37067;94930;Aponogeton distachyos
45076;60768;Aposeris
45078;502;Aposeris foetida
46328;60356;Aquifoliaceae
46327;60642;Aquifoliales
54511;61139;Aquilegia
54518;508;Aquilegia atrata
54521;504;Aquilegia einseleana
54513;507;Aquilegia vulgaris agg.
54516;510;Aquilegia vulgaris s. str.
54517;26926;Aquilegia vulgaris subsp. vulgaris
53295;60830;Arabidopsis
53314;32182;Arabidopsis arenosa
53319;32183;Arabidopsis arenosa subsp. arenosa
53322;32184;Arabidopsis arenosa subsp. borbasii
53308;32185;Arabidopsis halleri
53312;32186;Arabidopsis halleri subsp. halleri
53297;34202;Arabidopsis lyrata
53299;34203;Arabidopsis lyrata subsp. petraea
53326;511;Arabidopsis suecica
53305;512;Arabidopsis thaliana
53586;60831;Arabis
53623;513;Arabis alpina agg.
53626;514;Arabis alpina s. str.
53620;516;Arabis auriculata
53603;27651;Arabis bellidifolia agg.
53609;27843;Arabis bellidifolia s. str.
53618;518;Arabis caerulea
53629;515;Arabis caucasica
53633;29661;Arabis caucasica subsp. caucasica
53588;519;Arabis ciliata
53635;7303;Arabis collina
53600;523;Arabis hirsuta
53591;521;Arabis hirsuta agg.
53593;20072;Arabis nemorensis
53596;526;Arabis sagittata
53611;6616;Arabis soyeri
53613;540;Arabis soyeri subsp. subcoriacea
53606;20533;Arabis stellulata
37260;60500;Araceae
45822;60402;Araliaceae
42524;62211;Arbutus
42525;94931;Arbutus unedo
32000;94463;Archidiaceae
36606;94661;Archidiales
36560;80208;Archidium
36561;80209;Archidium alternifolium
44095;60791;Arctium
44104;546;Arctium lappa
44109;547;Arctium minus agg.
44111;13702;Arctium minus s. l.
44118;549;Arctium nemorosum
44125;551;Arctium tomentosum
44107;10049;Arctium x ambiguum
44121;10047;Arctium x cimbricum
44102;90216;Arctium x maasii
44123;10053;Arctium x mixtum
44100;90218;Arctium x neumanii
44098;10054;Arctium x nothum
42607;60908;Arctostaphylos
42612;552;Arctostaphylos alpinus
42609;553;Arctostaphylos uva-ursi
45116;67418;Arctotheca
45117;30295;Arctotheca calendula
37000;60497;Arecaceae
36999;60492;Arecales
50554;61162;Aremonia
50556;554;Aremonia agrimonoides
50559;29662;Aremonia agrimonoides subsp. agrimonoides
41520;60670;Arenaria
41522;26651;Arenaria ciliata s. l.
41524;26564;Arenaria ciliata subsp. ciliata
41526;20550;Arenaria ciliata subsp. multicaulis
41531;564;Arenaria leptoclados
41534;29663;Arenaria leptoclados subsp. leptoclados
41547;94932;Arenaria montana
41529;563;Arenaria serpyllifolia agg.
41536;13703;Arenaria serpyllifolia s. l.
41539;26565;Arenaria serpyllifolia subsp. lloydii
41542;6463;Arenaria serpyllifolia subsp. serpyllifolia
42663;61608;Argophyllaceae
54737;60613;Aristolochia
54734;60109;Aristolochiaceae
54739;570;Aristolochia clematitis
54741;10055;Aristolochia macrophylla
42123;61103;Armeria
42126;20578;Armeria arenaria
42130;29664;Armeria arenaria subsp. arenaria
42135;581;Armeria maritima s. l.
42140;20584;Armeria maritima subsp. elongata
42155;11779;Armeria maritima subsp. intermedia
42132;582;Armeria purpurea
53178;60832;Armoracia
53180;584;Armoracia rusticana
36482;80211;Arnellia
32112;94425;Arnelliaceae
36483;80212;Arnellia fennica
45220;60732;Arnica
45222;585;Arnica montana
45224;29013;Arnica montana subsp. montana
45810;60769;Arnoseris
45812;586;Arnoseris minima
50155;65465;Aronia
50161;30249;Aronia melanocarpa
50157;27384;Aronia x prunifolia
39097;61364;Arrhenatherum
39099;587;Arrhenatherum elatius
39102;6622;Arrhenatherum elatius subsp. elatius
44001;60760;Artemisia
44059;588;Artemisia abrotanum
44028;589;Artemisia absinthium
44031;591;Artemisia annua
44030;94933;Artemisia arborescens
44003;593;Artemisia austriaca
44020;6624;Artemisia biennis
44022;95052;Artemisia caerulescens
44023;95027;Artemisia caerulescens subsp. gallica
44047;596;Artemisia campestris
44044;594;Artemisia campestris agg.
44053;6466;Artemisia campestris subsp. campestris
44050;6467;Artemisia campestris subsp. lednicensis
44013;598;Artemisia dracunculus
44016;602;Artemisia laciniata
44018;29665;Artemisia laciniata subsp. laciniata
44035;605;Artemisia maritima
44033;603;Artemisia maritima agg.
44038;20602;Artemisia maritima subsp. maritima
44041;608;Artemisia mutellina
44045;611;Artemisia pontica
44057;612;Artemisia rupestris
44039;613;Artemisia scoparia
44024;614;Artemisia siversiana
44026;615;Artemisia tournefortiana
44011;617;Artemisia verlotiorum
44007;618;Artemisia vulgaris
44005;616;Artemisia vulgaris agg.
55899;94057;Arthrocladia
55900;90231;Arthrocladia villosa
42119;95044;Arthrocnemum
42120;94934;Arthrocnemum macrostachyum
37272;61332;Arum
37281;14373;Arum cylindraceum
37280;624;Arum italicum
37274;622;Arum maculatum agg.
37276;625;Arum maculatum s. str.
50310;61163;Aruncus
50312;627;Aruncus dioicus
47318;61203;Asarina
47319;630;Asarina procumbens
54742;60614;Asarum
54747;631;Asarum europaeum
54744;90232;Asarum europaeum agg.
54749;6629;Asarum europaeum subsp. caucasicum
54751;6630;Asarum europaeum subsp. europaeum
54746;20627;Asarum ibericum
46751;60615;Asclepias
46753;632;Asclepias syriaca
55829;94059;Ascophyllum
55830;90237;Ascophyllum nodosum
37965;66144;Asparagaceae
37342;70344;Asparagales
37994;61453;Asparagus
37996;636;Asparagus officinalis
37998;7187;Asparagus officinalis subsp. officinalis
55934;94061;Asperococcus
55935;90238;Asperococcus fistulosus
48528;60625;Asperugo
48530;638;Asperugo procumbens
46918;61185;Asperula
46923;642;Asperula arvensis
46929;644;Asperula cynanchica
46928;643;Asperula cynanchica agg.
46933;29666;Asperula cynanchica subsp. cynanchica
46921;11555;Asperula neilreichii
46920;648;Asperula orientalis
46935;652;Asperula taurina
46925;655;Asperula tinctoria
38161;66164;Asphodelaceae
38163;61540;Asphodelus
38164;30387;Asphodelus tenuifolius
55208;62275;Aspidium
55061;60042;Aspleniaceae
55062;60573;Asplenium
55076;662;Asplenium adiantum-nigrum
55071;661;Asplenium adiantum-nigrum agg.
55078;29667;Asplenium adiantum-nigrum subsp. adiantum-nigrum
55090;665;Asplenium adulterinum
55121;20655;Asplenium ceterach
55124;7177;Asplenium ceterach subsp. ceterach
55073;663;Asplenium cuneifolium
55075;90245;Asplenium cuneifolium subsp. cuneifolium
55079;90246;Asplenium cuneifolium x septentrionale
55097;669;Asplenium fissum
55101;671;Asplenium fontanum
55099;670;Asplenium fontanum agg.
55104;29869;Asplenium fontanum subsp. fontanum
55155;95028;Asplenium marinum
55082;26566;Asplenium obovatum s. l.
55084;12483;Asplenium obovatum subsp. billotii
55066;674;Asplenium ruta-muraria
55067;676;Asplenium ruta-muraria subsp. ruta-muraria
55112;20663;Asplenium scolopendrium
55116;29870;Asplenium scolopendrium subsp. scolopendrium
